Theft_Year,Veh Model Yr,Vehicle,# of Thefts
2015,2015,Nissan Altima,"1,104"
2015,2015,Chrysler 200,"1,069"
2015,2015,Toyota Camry,923
2015,2015,Toyota Corolla,776
2015,2015,GMC Sierra,670
2015,2015,Dodge Charger,666
2015,2015,Hyundai Sonata,632
2015,2015,Chevrolet Malibu,629
2015,2015,Chevrolet Impala,594
2015,2015,Chevrolet Cruze,586
2015,2015,Nissan Versa,549
2015,2015,Ford Fusion,488
2015,2015,Hyundai Elantra,475
2015,2015,Chevrolet Camaro,461
2015,2015,Kia Motors Corporation Optima,461
2015,2015,Jeep Cherokee/Grand Cherokee,450
2015,2015,Honda Civic,388
2015,2015,Ford Transit,385
2015,2015,Nissan Sentra,383
2015,2015,Chevrolet Silverado,381
2015,2015,Dodge Dart,358
2015,2015,Honda Accord,350
2015,2015,Ford Focus,345
2015,2015,Ford Mustang,329
2015,2015,Chevrolet Tahoe,319
